miRNA_loci	Canonical_miRNA_ID	Canonical_Seq_ID	Chr	H_start	H_end	Strand	isomiR_count	isomiR_IDs	isomiR_Seq_IDs	Canonical_isomiR_pair_count	Canonical_isomiR_median_Pearson_r	Canonical_isomiR_median_Library_Jaccard	isomiR_isomiR_pair_count	isomiR_isomiR_median_Pearson_r	isomiR_isomiR_median_Library_Jaccard
Gma-MIR12203	Gma-MIR12203	miR544_R12_L21	10	3654712	3654816	-	3	Gma-MIR12203.v1;Gma-MIR12203.v2;Gma-MIR12203.v3	miR1237_R3_L22;miR1520_R2_L22;miR166_R97_L21	3	-0.1111111111111111	0.0	3	-0.11111111111111108	0.0
Gma-MIR12213a	Gma-MIR12213a	miR155_R104_L20	10	50980488	50980598	-	2	Gma-MIR12213a.v1;Gma-MIR12213a.v2	miR1443_R2_L22;miR309_R36_L21	2	-0.12803299642154442	0.0	1	-0.25233780041225173	0.0
Gma-MIR12214a	Gma-MIR12214a	miR717_R8_L22	16	30393192	30393252	-	2	Gma-MIR12214a.v1;Gma-MIR12214a.v2	miR268_R45_L22;miR743_R7_L21	2	-0.1608594016364443	0.0	1	-0.12989486174277418	0.0
Gma-MIR12367b	Gma-MIR12367b	miR351_R28_L22	17	36950626	36950748	+	1	Gma-MIR12367b.v1	miR311_R35_L22	1	-0.12199705992657095	0.0	0	nan	nan
Gma-MIR12376a	Gma-MIR12376a	miR334_R31_L22	4	35719466	35719522	+	1	Gma-MIR12376a.v1	miR908_R5_L21	1	0.0050071122269821355	0.0	0	nan	nan
Gma-MIR12376b	Gma-MIR12376b	miR334_R31_L22	8	19705066	19705122	-	1	Gma-MIR12376b.v1	miR908_R5_L21	1	0.0050071122269821355	0.0	0	nan	nan
Gma-MIR12392a	Gma-MIR12392a	miR157_R103_L22	1	55666997	55667269	-	1	Gma-MIR12392a.v1	miR1467_R2_L21	1	-0.4510008790977537	0.0	0	nan	nan
Gma-MIR12392b	Gma-MIR12392b	miR157_R103_L22	17	38135542	38135814	-	1	Gma-MIR12392b.v1	miR1190_R3_L21	1	-0.06789941766245056	0.0	0	nan	nan
Gma-MIR12393	Gma-MIR12393	miR258_R49_L21	6	43786172	43786412	+	1	Gma-MIR12393.v1	miR876_R5_L21	1	-0.11565111031261421	0.0	0	nan	nan
Gma-MIR12410e	Gma-MIR12410e	miR406_R23_L21	14	13859413	13859478	+	1	Gma-MIR12410e.v1	miR581_R11_L21	1	0.8247936763393602	0.0	0	nan	nan
Gma-MIR12920	Gma-MIR12920	miR225_R61_L22	14	6745701	6745964	-	1	Gma-MIR12920.v1	miR1287_R2_L21	1	0.00793071459514929	0.0	0	nan	nan
Gma-MIR13639	Gma-MIR13639	miR337_R31_L20	19	50282842	50283116	+	1	Gma-MIR13639.v1	miR380_R26_L21	1	-0.358946587467907	0.0	0	nan	nan
Gma-MIR13837	Gma-MIR13837	miR1002_R4_L20	10	47050318	47050370	-	1	Gma-MIR13837.v1	miR553_R12_L21	1	-0.11111111111111108	0.0	0	nan	nan
Gma-MIR13986	Gma-MIR13986	miR234_R58_L21	17	10662868	10662995	+	1	Gma-MIR13986.v1	miR1564_R2_L21	1	0.42739457050429114	0.0	0	nan	nan
Gma-MIR14289	Gma-MIR14289	miR140_R123_L22	14	19968359	19968421	-	1	Gma-MIR14289.v1	miR1364_R2_L22	1	0.5472807495198768	0.0	0	nan	nan
Gma-MIR14589	Gma-MIR14589	miR424_R21_L21	16	32193632	32193708	-	1	Gma-MIR14589.v1	miR526_R13_L21	1	0.12249205674010707	0.0	0	nan	nan
Gma-MIR14645a	Gma-MIR14645a	miR568_R12_L22	1	46103864	46103996	+	1	Gma-MIR14645a.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-MIR14645b	Gma-MIR14645b	miR568_R12_L22	1	46360055	46360099	+	1	Gma-MIR14645b.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-MIR14645c	Gma-MIR14645c	miR568_R12_L22	2	39793005	39793140	-	1	Gma-MIR14645c.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-MIR14645d	Gma-MIR14645d	miR568_R12_L22	4	42417238	42417328	-	1	Gma-MIR14645d.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-MIR14645e	Gma-MIR14645e	miR568_R12_L22	10	29754978	29755067	+	1	Gma-MIR14645e.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-MIR14939b	Gma-MIR14939b	miR928_R5_L21	10	53918694	53918741	-	1	Gma-MIR14939b.v1	miR388_R25_L22	1	-0.11111111111111106	0.0	0	nan	nan
Gma-MIR398e	Gma-MIR398e	miR541_R13_L22	14	2738001	2738099	-	1	Gma-MIR398e.v1	miR433_R20_L21	1	-0.17002560749570414	0.0	0	nan	nan
Gma-MIR398e	Gma-MIR398e-5p	miR227_R60_L22	14	2738002	2738098	-	1	Gma-MIR398e-5p.v1	miR706_R8_L21	1	0.09590251076540339	0.0	0	nan	nan
Gma-MIRN12254	Gma-MIRN12254	miR598_R11_L22	10	18262913	18263051	+	1	Gma-MIRN12254.v1	miR1519_R2_L22	1	-0.26595557581195706	0.0	0	nan	nan
Gma-MIRN14549	Gma-MIRN14549	miR443_R19_L22	4	43425719	43425804	-	1	Gma-MIRN14549.v1	miR1444_R2_L22	1	-0.09288628720219037	0.0	0	nan	nan
Gma-MIRN15516	Gma-MIRN15516	miR466_R17_L20	16	7267801	7267882	+	1	Gma-MIRN15516.v1	miR736_R7_L21	1	0.22416476964424775	0.0	0	nan	nan
Gma-MIRN17872	Gma-MIRN17872	miR1588_R2_L20	6	3660509	3660581	+	1	Gma-MIRN17872.v1	miR338_R31_L21	1	0.8067481919853395	0.0	0	nan	nan
Gma-MIRN18007	Gma-MIRN18007	miR1160_R3_L20	7	42439888	42440151	-	1	Gma-MIRN18007.v1	miR954_R5_L21	1	-0.14197256999998667	0.0	0	nan	nan
Gma-MIRN18544	Gma-MIRN18544	miR863_R6_L22	4	47855816	47856013	-	1	Gma-MIRN18544.v1	miR605_R11_L21	1	-0.01050866093231579	0.0	0	nan	nan
Gma-MIRN326	Gma-MIRN326	miR317_R33_L21	2	16604887	16605151	-	1	Gma-MIRN326.v1	miR445_R19_L22	1	-0.16047113796971813	0.0	0	nan	nan
Gma-MIRN4409a	Gma-MIRN4409a	miR635_R9_L22	5	39640888	39640949	-	1	Gma-MIRN4409a.v1	miR1270_R2_L22	1	-6.938893903907228e-18	0.0	0	nan	nan
Gma-MIRN520a	Gma-MIRN520a	miR100_R191_L20	1	54170212	54170402	-	3	Gma-MIRN520a.v1;Gma-MIRN520a.v2;Gma-MIRN520a.v3	miR1417_R2_L20;miR159_R101_L21;miR462_R17_L21	3	0.6056608637677077	0.0	3	-0.23038130882858077	0.0
Gma-MIRN520b	Gma-MIRN520b	miR100_R191_L20	11	4594264	4594451	+	3	Gma-MIRN520b.v1;Gma-MIRN520b.v2;Gma-MIRN520b.v3	miR1417_R2_L20;miR159_R101_L21;miR462_R17_L21	3	0.6056608637677077	0.0	3	-0.23038130882858077	0.0
Gma-MIRN6620	Gma-MIRN6620	miR773_R7_L21	16	28591221	28591491	+	1	Gma-MIRN6620.v1	miR670_R9_L22	1	-0.11272403027632143	0.0	0	nan	nan
Gma-MIRN6782	Gma-MIRN6782	miR463_R17_L22	3	6293666	6293788	-	1	Gma-MIRN6782.v1	miR1361_R2_L21	1	0.8994677803654374	0.0	0	nan	nan
Gma-MIRN6784	Gma-MIRN6784	miR341_R30_L22	10	21210043	21210210	-	1	Gma-MIRN6784.v1	miR1028_R4_L21	1	0.152100267664383	0.0	0	nan	nan
Gma-MIRN6800	Gma-MIRN6800	miR1392_R2_L21	8	29233959	29234165	-	1	Gma-MIRN6800.v1	miR1321_R2_L22	1	-0.1477635311413854	0.0	0	nan	nan
Gma-MIRN9421	Gma-MIRN9421	miR373_R26_L22	14	4576541	4576808	-	1	Gma-MIRN9421.v1	miR728_R7_L22	1	-0.09078268431512887	0.0	0	nan	nan
Gma-miR12209	Gma-miR12209		17	5975718	5975869	+	2	Gma-miR12209.v1;Gma-miR12209.v2	miR451_R18_L21;miR589_R11_L20	0	nan	nan	1	-0.2256108475401219	0.0
Gma-miR12269e	Gma-miR12269e		10	40966521	40966620	+	2	Gma-miR12269e.v1;Gma-miR12269e.v2	miR318_R33_L22;miR674_R8_L22	0	nan	nan	1	0.5062735457569547	0.0
Gma-miR12410a	Gma-miR12410a		7	10023314	10023379	+	2	Gma-miR12410a.v1;Gma-miR12410a.v2	miR406_R23_L21;miR581_R11_L21	0	nan	nan	1	0.8247936763393602	0.0
Gma-miR12410a	Gma-miR12410a-3p	miR1458_R2_L21	7	10023315	10023378	+	1	Gma-miR12410a-3p.v1	miR1305_R2_L21	1	0.9999999999999996	0.0	0	nan	nan
Gma-miR12410c	Gma-miR12410c		7	10024653	10024718	+	2	Gma-miR12410c.v1;Gma-miR12410c.v2	miR406_R23_L21;miR581_R11_L21	0	nan	nan	1	0.8247936763393602	0.0
Gma-miR13146	Gma-miR13146		10	25063719	25063963	-	2	Gma-miR13146.v1;Gma-miR13146.v2	miR730_R7_L22;miR978_R4_L21	0	nan	nan	1	0.6130883582820736	0.0
Gma-miR13146a	Gma-miR13146a	miR730_R7_L22	2	14818724	14818968	-	1	Gma-miR13146a.v1	miR978_R4_L21	1	0.6130883582820736	0.0	0	nan	nan
Gma-miR13146b	Gma-miR13146b	miR730_R7_L22	6	46995286	46995530	+	1	Gma-miR13146b.v1	miR978_R4_L21	1	0.6130883582820736	0.0	0	nan	nan
Gma-miR13877b	Gma-miR13877b		7	1975794	1976020	-	2	Gma-miR13877b.v1;Gma-miR13877b.v2	miR185_R84_L22;miR428_R20_L22	0	nan	nan	1	0.19756918180564206	0.0
Gma-miR14289a	Gma-miR14289a	miR140_R123_L22	3	8931009	8931071	+	1	Gma-miR14289a.v1	miR1364_R2_L22	1	0.5472807495198768	0.0	0	nan	nan
Gma-miR14645f	Gma-miR14645f	miR568_R12_L22	3	31568057	31568144	+	1	Gma-miR14645f.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-miR14645j	Gma-miR14645j	miR568_R12_L22	11	15251711	15251800	-	1	Gma-miR14645j.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-miR14645l	Gma-miR14645l	miR568_R12_L22	15	17040108	17040152	-	1	Gma-miR14645l.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-miR14645m	Gma-miR14645m	miR568_R12_L22	18	16349358	16349447	-	1	Gma-miR14645m.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-miR14645n	Gma-miR14645n	miR568_R12_L22	18	16349363	16349452	+	1	Gma-miR14645n.v1	miR860_R6_L21	1	0.8566744237134742	0.38461538461538464	0	nan	nan
Gma-miR14846a	Gma-miR14846a	miR493_R15_L21	14	1428232	1428729	-	1	Gma-miR14846a.v1	miR1473_R2_L21	1	-0.24350786402517396	0.0	0	nan	nan
Gma-miR160i	Gma-miR160i		15	9790043	9790126	-	2	Gma-miR160i.v1;Gma-miR160i.v2	miR1098_R3_L20;miR207_R69_L21	0	nan	nan	1	0.10314185573314213	0.0
Gma-miR477c	Gma-miR477c	miR741_R7_L22	1	49846650	49846746	-	1	Gma-miR477c.v1	miR1276_R2_L22	1	0.6148858066831975	0.0	0	nan	nan
Gma-miRN13170c	Gma-miRN13170c	miR123_R145_L22	7	17272156	17272299	-	1	Gma-miRN13170c.v1	miR774_R7_L22	1	-0.2098606436512912	0.0	0	nan	nan
Gma-miRN13170d	Gma-miRN13170d	miR123_R145_L22	9	41450818	41450961	+	2	Gma-miRN13170d.v1;Gma-miRN13170d.v2	miR774_R7_L22;miR871_R5_L22	2	0.13550663413231961	0.003355704697986577	1	-0.0916377078373011	0.0
Gma-miRN13170f	Gma-miRN13170f	miR123_R145_L22	12	13099724	13100100	-	2	Gma-miRN13170f.v1;Gma-miRN13170f.v2	miR774_R7_L22;miR871_R5_L22	2	0.13550663413231961	0.003355704697986577	1	-0.0916377078373011	0.0
Gma-miRN13170g	Gma-miRN13170g	miR123_R145_L22	12	25112959	25113102	-	1	Gma-miRN13170g.v1	miR871_R5_L22	1	0.48087391191593043	0.006711409395973154	0	nan	nan
Gma-miRN13170h	Gma-miRN13170h	miR123_R145_L22	12	25123202	25123345	+	2	Gma-miRN13170h.v1;Gma-miRN13170h.v2	miR774_R7_L22;miR871_R5_L22	2	0.13550663413231961	0.003355704697986577	1	-0.0916377078373011	0.0
Gma-miRN13170j	Gma-miRN13170j	miR123_R145_L22	14	45379736	45380112	-	2	Gma-miRN13170j.v1;Gma-miRN13170j.v2	miR774_R7_L22;miR871_R5_L22	2	0.13550663413231961	0.003355704697986577	1	-0.0916377078373011	0.0
Gma-miRN13170k	Gma-miRN13170k	miR123_R145_L22	19	3962099	3962354	+	2	Gma-miRN13170k.v1;Gma-miRN13170k.v2	miR774_R7_L22;miR871_R5_L22	2	0.13550663413231961	0.003355704697986577	1	-0.0916377078373011	0.0
Gma-miRN17447	Gma-miRN17447		19	34261609	34261672	-	2	Gma-miRN17447.v1;Gma-miRN17447.v2	miR1228_R3_L22;miR847_R6_L21	0	nan	nan	1	-0.06741807098742159	0.0
Gma-miRN17742	Gma-miRN17742		14	15774041	15774117	+	2	Gma-miRN17742.v1;Gma-miRN17742.v2	miR1032_R4_L21;miR604_R11_L21	0	nan	nan	1	0.009893113463308512	0.0
Gma-miRN17742a	Gma-miRN17742a	miR604_R11_L21	2	41765249	41765387	-	1	Gma-miRN17742a.v1	miR1032_R4_L21	1	0.009893113463308512	0.0	0	nan	nan
Gma-miRN17742b	Gma-miRN17742b	miR604_R11_L21	5	11671838	11671934	+	1	Gma-miRN17742b.v1	miR1032_R4_L21	1	0.009893113463308512	0.0	0	nan	nan
Gma-miRN17742c	Gma-miRN17742c	miR604_R11_L21	14	45700861	45700957	+	1	Gma-miRN17742c.v1	miR1032_R4_L21	1	0.009893113463308512	0.0	0	nan	nan
Gma-miRN17742d	Gma-miRN17742d	miR604_R11_L21	20	5859390	5859469	-	1	Gma-miRN17742d.v1	miR1032_R4_L21	1	0.009893113463308512	0.0	0	nan	nan
